DATE TIME,PM10 1H (µg/m3),PM2.5 1H (µg/m3),SO2 1H (ppm),NO2 1H (ppm),O3 1H (ppm),CO 1H (ppm),WIND DIRECTION 1H (°),WIND SPEED 1H (m/s),RELATIVE HUMIDITY 1H (%),Ambient Temperature 1H (°c),API
2020-01-01 00:00:00,31.956,21.442,0.0009,0.0109,0.0114,0.722,104.689,0.915,81.95,33.972,55
2020-01-01 01:00:00,15.796,8.736,0.0008,0.0075,0.0114,0.603,99.665,1.025,80.617,33.834,54
2020-01-01 02:00:00,14.633,10.861,0.0008,0.0084,0.0072,0.587,115.164,0.494,83.584,32.925,54
2020-01-01 03:00:00,26.818,18.075,0.0007,0.0034,0.013,0.423,96.84,0.697,84.084,32.42,54
2020-01-01 04:00:00,14.297,9.571,0.0007,0.0017,0.0145,0.358,104.112,0.55,85.233,31.9,54
2020-01-01 05:00:00,13.412,8.384,0.0007,0.0027,0.0118,0.367,112.225,0.401,86.011,31.314,54
2020-01-01 06:00:00,7.587,2.768,0.0007,0.0032,0.0128,0.317,91.937,0.414,81.25,31.415,54
2020-01-01 07:00:00,6.436,1.181,0.0007,0.0021,0.0143,0.302,97.752,0.601,81.867,30.957,54
2020-01-01 08:00:00,9.153,4.93,0.0006,0.0018999999999999,0.0192,0.287,103.745,0.716,76.276,32.011,54
2020-01-01 09:00:00,12.255,7.633,0.0007,0.0017,0.02305,0.311,99.902,1.093,68.414,34.239,54
2020-01-01 10:00:00,10.687,4.591,0.0007,0.0011,0.0269,0.305,88.457,1.672,61.967,35.838,54
2020-01-01 11:00:00,12.294,5.924,0.0006,0.0004,0.0312,0.283,91.295,2.123,55.6,37.268,54
2020-01-01 12:00:00,11.795,5.489,0.0006,0.0002,0.0323,0.281,96.779,2.381,53.333,38.25,54
2020-01-01 13:00:00,12.387,5.609,0.0007,0.0001,0.032,0.286,91.843,2.394,52.083,39.023,54
2020-01-01 14:00:00,11.31,4.584,0.0007,0.0001,0.0316,0.29,86.996,1.775,49.387,39.649,54
2020-01-01 15:00:00,10.447,4.483,0.0006,0.0,0.032,0.291,72.972,1.52,48.178,39.899,54
2020-01-01 16:00:00,11.424,6.461,0.0007,0.0001,0.0316,0.291,89.383,1.672,47.292,40.471,54
2020-01-01 17:00:00,13.112,8.338,0.0008,0.0,0.0314,0.288,89.901,1.73,46.567,40.475,54
2020-01-01 18:00:00,10.307,4.705,0.0007,0.0,0.0297,0.304,98.171,1.991,49.15,39.967,53
2020-01-01 19:00:00,12.724,6.664,0.0007,0.0005,0.0284,0.319,95.442,1.909,53.25,38.712,53
2020-01-01 20:00:00,18.479,11.463,0.0009,0.0031,0.031,0.379,196.699,0.241,63.77,36.938,52
2020-01-01 21:00:00,18.869,8.91,0.0012,0.0064,0.0371,0.438,267.099,0.375,77.029,35.141,52
2020-01-01 22:00:00,20.412,12.819,0.0011,0.007,0.0287,0.457,75.964,0.197,82.55,33.985,51
2020-01-01 23:00:00,18.596,8.86,0.001,0.008,0.0236,0.492,75.133,0.285,86.161,33.306,50
2020-01-02 00:00:00,14.512,3.222,0.0002,0.0034,0.0196,0.518,113.321,0.98,81.051,25.531,49
2020-01-02 01:00:00,33.013,27.237,0.0002,0.0031,0.0162,0.521,123.574,0.55,83.217,24.865,48
2020-01-02 02:00:00,23.838,16.097,0.0001,0.0036,0.0136,0.513,116.274,0.529,84.3,24.505,47
2020-01-02 03:00:00,12.888,3.914,0.0002,0.0027,0.0149,0.49,119.872,0.279,85.0,24.103,46
2020-01-02 04:00:00,18.932,11.161,0.0001,0.0022,0.0154,0.481,111.926,0.17,85.628,23.826,45
2020-01-02 05:00:00,18.049,6.777,0.0001,0.0018,0.0173,0.473,119.055,0.844,84.967,24.122,44
2020-01-02 06:00:00,28.799,19.073,0.0003,0.0019,0.0166,0.469,109.832,0.713,85.082,24.265,43
2020-01-02 07:00:00,24.858,20.39,0.0005,0.0014,0.0194,0.4669999999999999,111.301,0.468,84.285,24.512,43
2020-01-02 08:00:00,17.078,9.068,0.0001,0.00375,0.0175,0.465,124.971,0.221,85.466,24.063,42
2020-01-02 09:00:00,14.747,6.657,0.0003,0.0061,0.02345,0.644,98.718,0.62,79.138,26.849,42
2020-01-02 10:00:00,12.703,6.131,0.0001,0.0024,0.0294,0.515,65.726,2.518,68.717,28.81,41
2020-01-02 11:00:00,12.003,4.864,0.0002,0.0007,0.0361,0.467,71.119,3.334,64.608,29.688,41
2020-01-02 12:00:00,14.482,6.934,0.0001,0.0001,0.0393,0.458,64.995,3.303,60.75,30.405,41
2020-01-02 13:00:00,20.621,13.569,0.0002,0.0001,0.0403,0.456,72.217,3.805,60.0,30.583,41
2020-01-02 14:00:00,9.354,4.503,0.0003,0.0001,0.0397,0.462,63.846,2.992,59.383,30.773,41
2020-01-02 15:00:00,12.63,2.676,0.0002,0.0,0.0403,0.466,69.895,3.136,57.233,31.61,41
2020-01-02 16:00:00,18.695,13.222,0.0003,0.0004,0.0393,0.473,65.26,2.851,56.699,31.891,42
2020-01-02 17:00:00,19.618,15.144,0.0002,0.0005,0.037,0.477,66.685,2.58,58.421,31.519,42
2020-01-02 18:00:00,14.449,8.03,0.0003,0.0008,0.0372,0.498,72.935,2.658,60.517,31.17,43
2020-01-02 19:00:00,12.223,4.592,0.0001,0.0007,0.0367,0.489,70.152,1.962,61.233,30.333,44
2020-01-02 20:00:00,17.207,9.291,0.0002,0.0018,0.0331,0.505,67.237,1.504,65.684,28.952,44
2020-01-02 21:00:00,15.269,6.862,0.0002,0.0025,0.0325,0.511,99.018,1.78,67.167,28.198,44
2020-01-02 22:00:00,18.156,15.492,0.0001,0.0042,0.0264,0.552,111.417,1.386,70.567,27.322,44
2020-01-02 23:00:00,21.257,12.049,0.0004,0.0026,0.0303,0.522,108.457,1.674,72.617,26.982,44
2020-01-03 00:00:00,69.652,56.487,0.0011,0.0107,0.0158,0.997,86.383,0.888,80.484,26.397,43
2020-01-03 01:00:00,70.531,57.784,0.001,0.0097,0.0161,1.023,104.822,0.673,81.884,25.818,43
2020-01-03 02:00:00,77.297,64.7,0.0038,0.0123,0.0106,1.104,108.142,0.989,81.717,25.652,43
2020-01-03 03:00:00,62.237,51.036,0.0045,0.0083,0.0157,0.794,103.115,1.388,80.25,25.429,42
2020-01-03 04:00:00,42.284,32.971,0.0014,0.0037,0.019,0.566,96.113,1.004,80.833,25.022,42
2020-01-03 05:00:00,37.867,28.281,0.0011,0.0037,0.0172,0.556,103.332,1.006,82.134,24.638,42
2020-01-03 06:00:00,34.467,24.729,0.00105,0.0032,0.0165,0.527,111.573,0.93,82.767,24.352,42
2020-01-03 07:00:00,32.494,23.026,0.001,0.0032,0.0154,0.493,108.108,1.164,83.267,24.135,42
2020-01-03 08:00:00,31.177,21.449,0.0009,0.00375,0.0145,0.459,111.546,1.043,83.0,24.098,42
2020-01-03 09:00:00,30.481,18.886,0.001,0.0043,0.01875,0.494,112.522,1.358,80.21,25.368,43
2020-01-03 10:00:00,31.087,20.874,0.001,0.0029,0.023,0.489,79.351,1.564,73.704,27.53,43
2020-01-03 11:00:00,30.083,20.828,0.0012,0.0035,0.037,0.522,72.056,2.954,64.164,30.23,43
2020-01-03 12:00:00,30.756,20.86,0.0017,0.0033,0.0552,0.523,60.306,2.245,55.517,32.444,44
2020-01-03 13:00:00,30.207,20.227,0.0011,0.002,0.0641,0.493,50.988,2.162,51.617,33.168,45
2020-01-03 14:00:00,31.499,21.545,0.0012,0.0029,0.081,0.534,33.743,2.097,50.083,33.857,46
2020-01-03 15:00:00,35.886,25.798,0.0012,0.0033,0.0967,0.563,321.721,1.879,47.0,34.772,48
2020-01-03 16:00:00,37.351,27.458,0.0012,0.0032,0.0979,0.577,31.992,1.386,49.05,34.287,50
2020-01-03 17:00:00,42.374,28.749,0.0013,0.004,0.0773,0.659,69.295,1.844,60.323,32.365,52
2020-01-03 18:00:00,52.626,36.269,0.0012,0.0042,0.0985,0.703,349.44,0.644,68.833,31.017,54
2020-01-03 19:00:00,40.875,29.509,0.0009,0.0043,0.0643,0.617,306.194,1.593,76.525,28.56,56
2020-01-03 20:00:00,18.103,14.134,0.0007,0.0036,0.0374,0.547,283.155,0.536,80.07,26.607,58
2020-01-03 21:00:00,16.229,13.237,0.0007,0.004,0.0331,0.557,333.97,0.095,81.067,26.627,59
2020-01-03 22:00:00,26.783,23.38,0.0006,0.0054,0.0315,0.589,89.826,0.33,82.017,26.543,60
2020-01-03 23:00:00,30.299,26.105,0.0007,0.0053,0.0302,0.596,91.793,0.671,83.317,26.064,61
2020-01-04 00:00:00,27.923,21.984,0.001,0.0051,0.0173,0.527,94.667,0.59,89.217,26.327,62
2020-01-04 01:00:00,32.121,25.791,0.001,0.0047,0.0133,0.52,84.419,0.483,91.036,26.036,62
2020-01-04 02:00:00,28.545,22.225,0.001,0.006,0.0114,0.542,88.452,0.814,90.533,26.031,63
2020-01-04 03:00:00,14.296,6.591,0.0011,0.006,0.009,0.529,91.394,0.411,91.127,25.843,64
2020-01-04 04:00:00,15.45,6.613,0.001,0.005,0.0075,0.517,57.456,0.179,93.0,25.499,64
2020-01-04 05:00:00,17.994,9.269,0.001,0.0033,0.0099,0.477,85.044,0.37,91.142,25.577,66
2020-01-04 06:00:00,30.972,24.74,0.00105,0.0028,0.0087,0.46,103.307,0.247,90.55,25.156,68
2020-01-04 07:00:00,31.79,24.443,0.0011,0.0029,0.0068,0.4645,101.397,0.516,91.575,24.881,70
2020-01-04 08:00:00,32.289,24.831,0.001,0.0027,0.0062,0.469,96.674,0.567,90.2,25.275,73
2020-01-04 09:00:00,29.85,23.281,0.0011,0.0025,0.0136499999999999,0.499,106.661,0.868,80.711,27.506,76
2020-01-04 10:00:00,27.827,21.125,0.0011,0.0025,0.0211,0.501,100.008,0.639,70.849,29.866,79
2020-01-04 11:00:00,29.784,23.257,0.0012,0.0026,0.0346,0.519,71.068,0.219,63.784,31.895,81
2020-01-04 12:00:00,28.417,22.588,0.001,0.0014,0.0343,0.448,32.115,0.11,58.217,33.132,82
2020-01-04 13:00:00,16.004,13.381,0.001,0.0016,0.038,0.393,242.254,0.434,52.637,34.205,81
2020-01-04 14:00:00,17.974,12.909,0.0011,0.0016,0.0458,0.396,191.981,0.318,49.134,34.34,79
2020-01-04 15:00:00,19.55,14.779,0.0011,0.0017,0.0495,0.395,199.626,0.411,47.233,34.865,76
2020-01-04 16:00:00,17.238,13.307,0.0011,0.0018,0.0515,0.408,159.102,0.412,45.699,35.699,72
2020-01-04 17:00:00,28.967,23.611,0.0016,0.0034,0.0737,0.504,225.07,0.579,50.574,35.455,68
2020-01-04 18:00:00,41.47,34.383,0.0016,0.0033,0.0746,0.521,225.127,0.638,54.086,34.402,64
2020-01-04 19:00:00,38.689,33.809,0.0013,0.0049,0.0639,0.533,341.517,0.76,65.458,31.528,61
