DATE TIME,PM10 1H (µg/m3),PM2.5 1H (µg/m3),WIND DIRECTION 1H (°),WIND SPEED 1H (m/s),RELATIVE HUMIDITY 1H (%),Ambient Temperature 1H (°c),API
2020-01-01 00:00:00,23.514,18.072,100.843,1.01,88.404,25.963,51
2020-01-01 01:00:00,14.198,10.304,23.222,1.633,89.512,24.801,51
2020-01-01 02:00:00,8.556,5.715,309.849,0.504,95.75,23.014,51
2020-01-01 03:00:00,9.153,6.739,95.91,0.456,95.683,23.55,50
2020-01-01 04:00:00,7.146,4.817,46.319,0.737,93.932,23.887,50
2020-01-01 05:00:00,11.019,8.256,41.178,0.722,94.767,23.635,50
2020-01-01 06:00:00,25.705,20.433,80.104,0.414,94.6,23.473,50
2020-01-01 07:00:00,4.466,1.262,57.664,0.422,93.732,23.37,50
2020-01-01 08:00:00,7.822,4.822,95.234,0.394,92.183,23.59,50
2020-01-01 09:00:00,12.812,9.19,55.439,0.894,80.714,26.013,50
2020-01-01 10:00:00,11.754,7.581,36.563,1.383,72.375,27.777,50
2020-01-01 11:00:00,12.436,6.589,52.45,2.41,63.719,29.049,50
2020-01-01 12:00:00,18.105,5.323,6.061,1.383,60.731,30.298,50
2020-01-01 13:00:00,5.762,2.215,272.073,0.747,57.25,31.7,50
2020-01-01 14:00:00,10.685,7.819,218.15,1.879,62.833,30.952,50
2020-01-01 15:00:00,10.923,7.81,226.274,1.272,63.164,31.032,50
2020-01-01 16:00:00,7.49,4.178,238.808,2.794,64.983,30.682,50
2020-01-01 17:00:00,5.182,2.306,246.571,2.314,63.368,31.427,50
2020-01-01 18:00:00,9.746,6.416,216.459,2.481,64.883,31.04,50
2020-01-01 19:00:00,14.074,9.968,204.135,2.321,68.528,29.52,49
2020-01-01 20:00:00,16.328,11.045,241.422,0.98,72.159,28.392,49
2020-01-01 21:00:00,18.436,13.884,219.948,1.285,73.433,28.197,49
2020-01-01 22:00:00,20.868,16.617,212.502,0.428,75.5,27.647,48
2020-01-01 23:00:00,17.382,12.755,311.152,0.158,80.942,26.749,48
2020-01-02 00:00:00,19.972,16.836,96.966,0.85,87.55,26.697,47
2020-01-02 01:00:00,28.231,23.917,105.348,1.134,88.277,26.492,47
2020-01-02 02:00:00,24.161,20.417,97.891,0.881,92.917,25.647,46
2020-01-02 03:00:00,12.47,10.059,63.155,0.458,92.217,25.35,46
2020-01-02 04:00:00,15.483,12.304,59.265,0.084,93.833,25.237,45
2020-01-02 05:00:00,21.407,16.739,42.833,0.13,95.383,25.017,44
2020-01-02 06:00:00,18.106,12.045,110.733,0.187,96.0,24.865,43
2020-01-02 07:00:00,17.952,12.76,80.329,0.226,95.983,24.899,42
2020-01-02 08:00:00,21.687,16.199,91.913,0.509,94.483,25.137,41
2020-01-02 09:00:00,32.713,25.617,96.219,1.043,89.4,26.705,41
2020-01-02 10:00:00,29.773,24.42,70.117,2.002,78.083,28.51,40
2020-01-02 11:00:00,18.471,15.677,77.454,2.956,73.067,28.954,40
2020-01-02 12:00:00,13.199,9.528,67.824,1.677,70.217,29.932,40
2020-01-02 13:00:00,8.845,5.488,120.076,0.665,65.667,31.018,40
2020-01-02 14:00:00,9.193,6.069,113.471,0.829,65.4,31.047,41
2020-01-02 15:00:00,9.085,5.629,70.193,1.782,61.203,31.399,41
