DATE TIME,PM10 1H (µg/m3),PM2.5 1H (µg/m3),SO2 1H (ppm),NO2 1H (ppm),O3 1H (ppm),CO 1H (ppm),WIND DIRECTION 1H (°),WIND SPEED 1H (m/s),RELATIVE HUMIDITY 1H (%),Ambient Temperature 1H (°c),API
2020-01-01 00:00:00,13.912,9.074,0.0009,0.0151,0.005,1.149,98.018,1.226,68.467,28.712,58
2020-01-01 01:00:00,14.957,9.163,0.0009,0.0119,0.0063,1.004,91.4,1.555,67.817,28.51,58
2020-01-01 02:00:00,5.062,0.923,0.0007,0.0094,0.0072,0.888,87.081,1.61,69.691,27.983,57
2020-01-01 03:00:00,10.361,6.578,0.0006,0.0121,0.0055,0.989,92.128,0.647,71.9,27.387,57
2020-01-01 04:00:00,7.512,3.298,0.0006,0.0104,0.0062,0.869,76.073,0.76,74.017,26.753,57
2020-01-01 05:00:00,10.24,5.51,0.0006,0.0124,0.004,0.891,74.677,0.669,76.868,26.168,57
2020-01-01 06:00:00,6.541,1.44,0.0005,0.0102,0.0056,0.82,79.905,0.759,76.0,25.825,57
2020-01-01 07:00:00,11.051,5.356,0.0006,0.0106,0.0072,0.791,82.744,1.085,71.984,25.984,57
2020-01-01 08:00:00,22.88,16.578,0.00065,0.0068,0.0123,0.714,78.666,1.872,67.45,26.535,57
2020-01-01 09:00:00,11.455,3.396,0.0007,0.0076,0.01335,0.798,97.446,1.682,61.733,28.034,57
2020-01-01 10:00:00,15.244,7.339,0.0007,0.0079333333333333,0.0144,0.709,94.324,1.883,56.017,29.54,56
2020-01-01 11:00:00,14.525,7.117,0.0006,0.0082666666666666,0.0159,0.714,91.538,2.012,51.283,30.977,56
2020-01-01 12:00:00,16.652,7.919,0.0006,0.0086,0.017,0.719,94.39,2.574,49.5,31.958,55
2020-01-01 13:00:00,14.619,5.89,0.0006,0.0084,0.017,0.816,94.028,2.677,47.9,32.53,55
2020-01-01 14:00:00,14.888,6.467,0.0006,0.0084,0.0164,0.713,87.443,3.138,47.417,32.95,54
2020-01-01 15:00:00,17.798,9.518,0.0006,0.0079,0.0174,0.748,92.949,3.654,44.634,33.787,53
2020-01-01 16:00:00,10.95,4.039,0.0006,0.0086,0.0157,0.833,94.134,3.357,44.517,34.118,53
2020-01-01 17:00:00,12.297,4.026,0.0006,0.0079,0.0157,0.758,92.843,3.447,43.4,34.025,52
2020-01-01 18:00:00,11.173,3.109,0.0007,0.01,0.0142,0.895,88.212,2.531,44.2,33.897,51
