,prediction,actual
0,65.035446,63.0
1,64.73364,64.0
2,64.690544,63.0
3,64.50649,63.0
4,64.33202,63.0
5,64.22654,63.0
6,64.05244,61.99999999999999
7,63.92341,61.99999999999999
8,63.821655,61.99999999999999
9,63.68544,61.99999999999999
10,63.597317,61.99999999999999
11,63.53209,61.99999999999999
12,63.462933,63.0
13,63.295753,64.0
14,63.325397,63.0
15,63.242493,63.0
16,63.23809,61.99999999999999
17,63.05703,61.99999999999999
18,62.795918,61.99999999999999
19,62.669144,63.0
20,62.7068,63.0
21,62.462666,65.0
22,63.025837,65.0
23,63.257828,65.0
24,63.300446,65.0
25,63.402096,66.0
26,63.488106,67.0
27,63.621094,67.0
28,63.680588,66.0
29,63.627316,66.0
30,63.532757,66.0
31,63.372494,66.0
32,63.28793,66.0
33,63.193794,66.0
34,63.131386,66.0
35,63.103878,66.0
36,63.032757,65.0
37,62.79759,63.0
38,62.647625,63.0
39,62.587265,63.0
40,62.458736,63.0
41,62.300518,63.0
42,62.389805,64.0
43,62.600792,64.0
44,62.910927,64.0
45,63.18391,63.0
46,63.15412,63.0
47,63.19767,63.0
48,63.23692,64.0
49,63.243374,64.0
50,63.334335,65.0
51,63.41518,65.0
52,63.314495,66.0
53,63.24849,66.0
54,63.200653,66.0
55,63.17469,67.0
56,63.192684,67.0
57,63.19191,67.0
58,63.152027,67.0
59,63.10953,67.0
60,63.050484,68.0
61,62.901314,69.0
62,62.953342,69.0
63,63.025295,69.0
64,62.9438,69.0
65,62.760395,69.0
66,62.818203,69.0
67,62.827965,68.0
68,62.763508,68.0
69,63.103085,68.0
70,63.148216,68.0
71,62.8256,69.0
72,62.750328,69.0
73,62.661446,67.0
74,62.37509,65.0
75,62.14984,64.0
76,61.914356,63.0
77,61.7113,64.0
78,61.695393,64.0
79,61.633503,64.0
80,61.56667,64.0
81,61.557003,64.0
82,61.528652,65.0
83,61.573727,65.0
84,61.595375,64.0
85,61.47591,61.99999999999999
86,61.251656,63.0
87,61.297184,63.0
88,61.41317,64.0
89,61.539658,64.0
90,61.759193,64.0
91,61.894657,64.0
92,61.950996,64.0
93,62.181705,64.0
94,62.174477,63.0
95,61.985386,61.99999999999999
96,61.714607,63.0
97,61.691307,64.0
98,61.5394,66.0
99,61.520874,66.0
100,61.32589,67.0
101,61.363777,67.0
102,61.438046,67.0
103,61.493034,66.0
104,61.446945,66.0
105,61.432266,66.0
106,61.39237,66.0
107,61.391705,66.0
108,61.353252,66.0
109,61.20335,66.0
110,61.042866,66.0
111,61.13383,66.0
112,61.018665,66.0
113,61.031536,66.0
114,60.953293,65.0
115,60.867504,65.0
116,60.62349,64.0
117,60.332485,65.0
118,60.521603,67.0
119,60.622585,67.0
120,60.709354,66.0
121,60.809944,68.0
122,61.034454,67.0
123,61.101673,69.0
124,61.09647,68.0
125,61.011124,68.0
126,60.99739,68.0
127,60.999084,69.0
128,61.093895,69.0
129,61.115177,69.0
130,61.166058,69.0
131,61.26897,68.0
132,61.119427,70.0
133,61.106068,70.0
134,60.927925,71.0
135,61.06374,71.0
136,61.05,71.0
137,61.000114,71.0
138,61.004,72.0
139,60.9418,73.0
140,61.4091,74.0
141,61.316074,73.0
142,61.177937,72.0
143,61.06343,72.0
144,60.98184,72.0
145,60.88805,71.0
146,60.775307,70.0
147,60.689972,68.0
148,60.517536,68.0
149,60.38378,67.0
150,60.102436,67.0
151,59.943413,66.0
152,59.829163,66.0
153,59.74627,66.0
154,59.73056,65.0
155,59.714657,67.0
156,59.65846,66.0
157,59.46435,67.0
158,59.34749,66.0
159,59.263145,65.0
160,59.122196,66.0
161,59.200764,66.0
162,59.25942,67.0
163,59.487923,66.0
164,59.498554,66.0
165,59.390022,66.0
166,59.464825,67.0
167,59.510433,67.0
168,59.38861,67.0
169,59.401268,67.0
170,59.295994,68.0
171,59.12337,69.0
