,prediction,actual
0,60.115494,59.0
1,58.9115,59.0
2,59.20079,59.0
3,59.198856,59.0
4,59.207386,58.0
5,58.200226,58.0
6,58.26675,59.0
7,59.133217,59.0
8,59.110115,59.0
9,59.064987,59.0
10,58.979313,59.0
11,59.09045,59.0
12,59.019722,59.0
13,58.905716,59.0
14,59.17345,60.0
15,60.091602,59.0
16,58.864357,59.0
17,59.061764,59.0
18,59.019695,59.0
19,59.195557,60.0
20,60.36394,59.0
21,59.35958,59.0
22,59.413532,59.0
23,59.24149,60.0
24,60.1273,60.0
25,60.222065,60.0
26,60.20241,60.0
27,60.141006,60.0
28,59.99798,60.0
29,60.340446,60.0
30,60.163956,59.0
31,59.136745,59.0
32,59.17135,59.0
33,59.18295,59.0
34,59.16516,58.0
35,58.123695,58.0
36,58.19702,58.0
37,58.034565,58.0
38,58.030293,58.0
39,57.992096,58.0
40,57.99936,59.0
41,59.34827,59.0
42,59.095665,59.0
43,59.02715,58.0
44,58.322704,59.0
45,59.14571,59.0
46,59.103546,59.0
47,59.285305,58.0
48,58.3348,59.0
49,59.30126,58.0
50,58.143204,58.0
51,58.111416,58.0
52,58.016285,58.0
53,57.974846,58.0
54,57.970425,58.0
55,58.07771,58.0
56,58.083584,58.0
57,58.155922,58.0
58,57.980583,58.0
59,58.075012,58.0
60,57.92467,58.0
61,57.89912,58.0
62,58.034912,58.0
63,57.989876,58.0
64,58.146915,58.0
65,58.105755,58.0
66,58.003304,58.0
67,58.12443,58.0
68,58.182175,58.0
69,58.177296,58.0
70,58.387486,58.0
71,58.010952,58.0
72,57.670036,57.0
73,56.30064,57.0
74,56.46627,57.0
75,56.87511,57.0
76,56.90357,57.0
77,56.836708,57.0
78,56.966408,58.0
79,57.984386,58.0
80,57.99134,59.0
81,58.96815,59.0
82,59.05406,59.0
83,58.99689,59.0
84,59.042603,59.0
85,59.018753,59.0
86,58.927776,59.0
87,59.10968,59.0
88,58.783,59.0
89,58.989788,58.0
90,57.97536,59.0
91,59.15413,59.0
92,59.15148,59.0
93,59.2829,59.0
94,59.235783,59.0
95,59.32296,59.0
96,59.07904,59.0
97,59.098625,59.0
98,59.018524,59.0
99,58.88424,60.0
100,59.932945,60.0
101,59.989983,60.0
102,59.98176,60.0
103,59.950184,60.0
104,59.957706,60.0
105,59.866257,61.0
106,60.830452,61.0
107,60.825157,61.0
108,60.915882,61.0
109,60.743458,61.0
110,60.841103,61.0
111,60.65919,61.0
112,60.903137,61.0
113,60.9877,61.0
114,61.103767,61.0
115,61.12452,60.0
116,60.077625,60.0
117,60.228973,60.0
118,60.396633,61.0
119,61.42418,61.0
120,61.240467,62.0
121,62.043327,63.0
122,63.095734,63.0
123,63.238976,64.0
124,64.23349,64.0
125,64.204605,64.0
126,64.105,64.0
127,64.010284,64.0
128,64.06907,63.0
129,62.81103,63.0
130,62.62108,63.0
131,62.772755,63.0
132,62.787884,63.0
133,62.714657,63.0
134,62.799965,63.0
135,62.895863,64.0
136,64.13719,64.0
137,63.8671,64.0
138,63.931786,64.0
139,64.17891,65.0
140,65.288994,65.0
141,64.83602,65.0
142,65.108765,64.0
143,64.23951,65.0
144,65.05247,65.0
145,65.07194,65.0
146,65.21803,68.0
147,69.01434,66.0
148,65.88517,65.0
149,64.94971,64.0
150,63.815563,63.0
151,62.77276,61.0
152,60.80488,61.0
153,60.754185,61.0
154,60.83643,61.0
155,60.745216,60.0
156,59.798332,60.0
157,59.82283,60.0
158,59.789852,61.0
159,60.804672,61.0
160,60.868187,62.0
161,62.14897,62.0
162,62.053375,62.0
163,62.072777,62.0
164,62.2163,62.0
165,62.065353,62.0
166,62.140244,63.0
167,63.21873,63.0
168,63.267372,63.0
169,63.215187,62.0
170,62.101543,59.0
171,59.105404,60.0
172,59.889294,60.0
173,59.73529,60.0
174,59.73933,61.0
175,60.77631,61.0
176,60.78036,60.0
177,59.84043,60.0
178,59.827976,60.0
179,59.793644,60.0
180,59.91,60.0
181,59.715267,60.0
182,59.715286,60.0
183,60.056778,60.0
184,60.222267,59.0
185,59.097153,60.0
186,60.39594,60.0
187,60.411137,60.0
188,60.582546,60.0
189,60.5234,61.0
190,61.523476,60.0
191,60.45281,60.0
192,60.06453,58.0
